"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,34.584969562899,155.998043109773,61.901661471019,40.4752032273906,84.1963298482793,1763.88031549078,1726.5,1653.84506459133,1676.5,1731.5,1147,1683,80.6611274087159
"2002/2003",2003,120,120,100,31.9967266375239,133.846690779434,67.4799553463523,39.8100121857288,84.8148311263359,1805.89785051227,1689,1712.23285122416,1645,1782,1147,1732.5,83.7232700192787
"2003/2004",2004,120,120,100,47.4477075862705,197.37011107065,68.9636714711998,59.6826134583682,93.9311637147006,2029.43284021987,1808.5,1737.27788000473,1841,1847,1454,1830,85.9671565160253
"2004/2005",2005,121,121,100,48.2623895465511,212.062222154366,63.0357196608989,54.9537643081898,90.3118878389527,2146.23507040364,2029,1981.90890014012,1978.5,2090.5,1534,2066.5,90.3213453133
"2005/2006",2006,120,120,100,39.2129509125231,185.279030766361,58.1540198623333,43.1647976999386,84.279289186441,1949.91860400396,1926.5,1902.19421018234,1833.5,1934.5,1255,1909,86.0232297566646
"2006/2007",2007,120,120,100,39.3870531397364,183.916050059853,64.0233260549704,43.6394283897318,86.1287646235582,1883.99373028537,1797.5,1794.96608368805,1729.5,1853,1245,1814,83.6242655707398
"2007/2008",2008,120,120,100,47.4932079570427,198.657680854716,72.5058684107514,59.4807040904556,93.8407512657506,1978.44491120782,1787,1634.17358967666,1877,1756,1559,1736.5,83.6143825016575
"2008/2009",2009,121,121,100,40.4420594418627,211.232681440806,65.9030412258008,48.5435208313594,91.1166620105921,1991.78316907632,1861,1792.08129995461,1860.5,1859,1426,1841,87.8599635382013
"2009/2010",2010,120,120,100,38.4848664442284,168.891130693663,65.9677200358539,45.5562453921279,87.7831716761586,1950.40540839502,1848.5,1858.32914476964,1827.5,1897,1298,1885.5,86.1384695912077
"2010/2011",2011,120,120,100,51.0875208815133,201.266322815588,63.5293466375293,55.8543158133535,88.7929933157721,2182.21197035157,2121,2046.91055801139,2050.5,2139.5,1576,2137,89.9565681444981
"2011/2012",2012,120,120,100,50.2448937822647,191.319374538035,65.9570031204705,59.1119319557238,91.2668999310738,2153.20878064787,2053,1944.477869566,2027,2056.5,1620,2043.5,86.4151030491328
"2012/2013",2013,121,121,100,41.1206579276177,188.176809243046,67.305430677857,51.4976523840703,91.1775629705445,1870.21571516871,1702.5,1660.10105790584,1756.5,1713,1303,1687.5,85.6049460351308
"2013/2014",2014,120,120,100,47.4021522500323,188.729200444841,70.2307671966207,57.4086186056802,92.4505070826428,2059.94569102357,1882.5,1774.44664096865,1884.5,1874.5,1526,1857,85.1144967050986
"2014/2015",2015,120,120,100,29.2510068215425,130.701862953433,76.7086063032343,47.3452314539928,92.764242574573,1480.75027001734,1186.5,1026.34706887236,1343,1162.5,1119,1072,69.8340809543072
"2015/2016",2016,120,120,100,42.645652067413,171.105002722431,63.9556046271106,49.3423605307744,87.9155424247639,1984.30443324667,1885.5,1860.47436106,1854,1929.5,1356,1899,85.4929512908889
"2016/2017",2017,121,121,100,38.861489395744,175.757350918252,65.5599665565752,48.5136826657014,88.0946779809823,1758.40755063252,1602,1467.89580566817,1621.5,1634.5,1251,1544,79.5011188071167
"2017/2018",2018,120,120,100,34.3407749715183,149.066232597393,69.0134863637605,45.4465411128341,88.814101067731,1719.11730062187,1572.5,1457.95113345464,1577,1564,1185,1501.5,78.647837043487
"2018/2019",2019,120,120,100,44.9004498089093,164.311059637385,77.7155729210035,58.2326674917334,93.4708606754834,1865.68003856039,1642.5,1504.93142680589,1727,1629.5,1481,1593.5,77.2171535630569
"2019/2020",2020,120,120,100,38.5134713828538,172.573727111707,62.7263560771762,47.4889115454493,87.4595030438975,1871.69720073054,1744,1651.51300430745,1751.5,1744,1297,1702,83.0167813482421
"2020/2021",2021,121,121,100,36.8339620394355,173.597570925288,59.476147837592,43.8542890802415,85.5073900008,1900.22873093808,1809,1800.63462754383,1726,1889,1175,1821.5,83.648249937874
"2021/2022",2022,120,120,100,47.2241555998531,187.037804669377,77.1539236847901,60.1311831226625,93.6871702573415,1804.14751075058,1633,1442.2378780394,1717,1552,1460,1539,80.0804030228828
"2022/2023",2023,120,120,100,48.5980453448249,172.512274218556,67.9157036205226,59.6594359899984,90.9559882542949,1889.1796469462,1731.5,1549.21580476126,1780.5,1715,1473,1661.5,79.5958772430326
"2023/2024",2024,120,120,100,40.7684766161411,194.957886595976,58.8273362620692,45.76155638753,85.5997745846894,2005.11425397039,1926,1899.23118641506,1863,1977,1314,1937,87.1491905633643
"2024/2025",2025,121,121,100,46.6351693060962,180.479787419997,62.6392535128581,52.6427483548802,87.944092811022,2068.65280676493,2013,1969.57857408326,1960,2017.5,1423,1993.5,89.3574323179323
"2025/2026",2026,120,120,100,44.3655427452545,179.060530697178,64.5546448298059,53.230152630114,88.9712614403157,2028.18263221417,1910.5,1809.9667189305,1910,1917.5,1472,1881.5,85.2599883227708
"2026/2027",2027,120,120,100,41.6514703590311,194.422983418892,78.5012652782299,57.5679896328462,96.6120150812498,1815.26449756032,1561.5,1437.28106334608,1679.5,1518,1414,1508,80.1300557867266
"2027/2028",2028,120,120,100,45.6905981563556,145.622642101739,68.167548462532,55.6907138963798,90.5024409084874,1980.97229377487,1846,1767.38600840582,1854,1849.5,1430,1825.5,85.2873431704088
"2028/2029",2029,121,121,100,52.9912899554438,247.863914371652,68.0385641657003,61.1245612658835,93.3117955004606,2037.04175847565,1872.5,1771.66352356743,1923,1873,1553,1863,86.3469742519133
"2029/2030",2030,120,120,100,47.5782956518291,204.191318169313,68.7547164825732,56.4074108450589,90.7970958050596,1932.62764443949,1798.5,1716.92441179345,1834,1778,1429,1768.5,82.2074395885497
"2030/2031",2031,120,120,100,39.3038816344916,206.988324784822,60.6589851652082,46.1582574708919,86.9193488876534,1861.56898558111,1778,1715.28030249741,1742,1776,1260,1741.5,84.0666012266033
