"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,45.888227465879,196.072786122065,73.3815600323308,55.9884067665931,93.4946546417788,1911.43464039728,1708,1653.55986033128,1768.5,1705,1419,1700.5,83.8202965910965
"2002/2003",2003,120,120,100,48.066113092158,198.425737315209,79.58875087217,58.1873526185749,93.5682040448203,1974.75530530598,1812.5,1639.65299059761,1862.5,1765,1606,1760,81.2153976584747
"2003/2004",2004,120,120,100,50.3102620514567,215.401837062915,81.5966653062084,68.21193539145,101.880261063843,1880.7375877282,1586,1377.70939657241,1749.5,1517.5,1635,1512.5,81.5534897947677
"2004/2005",2005,121,121,100,58.0917081748041,245.004160504944,74.8734548131257,72.557888833561,100.015898052649,2133.99990863692,1873.5,1648.19533058207,2001.5,1805,1843,1796.5,86.126141068779
"2005/2006",2006,120,120,100,55.9277025514402,235.983874274017,68.9945116354513,67.1826923306389,95.3354617486192,2137.54756732829,1924.5,1826.09978817277,2012.5,1923,1669,1919,89.0180611536291
"2006/2007",2007,120,120,100,56.6402783003322,236.457010438922,75.8368918894515,65.6789695459931,95.4829907891288,2029.20037584228,1853,1654.6599801314,1905.5,1823.5,1662,1814,83.9905793721953
"2007/2008",2008,120,120,100,50.747362261829,197.169102497581,86.0061483379372,66.8973383569837,100.176170999827,1791.36936518803,1485.5,1303.0200994197,1646.5,1399.5,1520,1398.5,75.2281675623727
"2008/2009",2009,121,121,100,54.5465176944795,246.727163725931,78.2835807092463,64.8313313113705,98.4507355876022,1956.07207490409,1734,1542.61529097055,1837,1674,1629,1673.5,81.1190006737475
"2009/2010",2010,120,120,100,54.3085186780518,218.293569530449,77.9224656127177,66.2745142870859,97.2186527210772,2085.67523909865,1869.5,1689.63419522383,1951,1835.5,1719,1834,83.4728891863338
"2010/2011",2011,120,120,100,63.1584732114471,250.33421087258,75.1586778662665,76.9599816691248,99.8431009828058,2252.27101937427,1980.5,1745.12661513771,2137.5,1920.5,1939,1920.5,87.6236958749789
