"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,37.2812081450647,165.04388690951,64.6425594105895,44.555300073348,87.0358024292038,1844.04209560624,1760.5,1733.68200536428,1742,1778.5,1227,1752.5,84.6375775127015
"2002/2003",2003,120,120,100,39.0984731066465,155.5805778304,70.0248978355665,46.8266777032744,87.7345924656539,1948.63009023717,1845,1813.30832847198,1798,1902,1356,1873,84.7676664881247
"2003/2004",2004,120,120,100,51.2785802866841,207.841304664475,72.1731707844441,64.274225108203,96.4880111924009,2037.1685037737,1794.5,1660.79705779363,1875.5,1791,1558,1777.5,86.6855073233234
"2004/2005",2005,121,121,100,54.6824877188366,231.112707213294,65.9973796909735,62.974691361107,93.1869258250379,2207.69897131143,2070,1941.29788806918,2045,2084,1711,2065,88.5124334250495
"2005/2006",2006,120,120,100,45.9069567707675,202.245654207535,60.9193214403736,50.9841804057257,87.277043080867,2045.58337805646,1988.5,1927.30229239955,1935,1993,1423,1976,88.1415848203993
"2006/2007",2007,120,120,100,45.367942349539,208.284450673517,66.8113717648505,51.2077255618196,89.1837833011571,1989.97889290025,1867.5,1826.13274066883,1847,1918,1443,1889.5,84.9749127772487
"2007/2008",2008,120,120,100,50.7712564459936,201.536168848199,75.7152339294229,62.9549635501747,95.8317532643645,2005.40112974584,1794.5,1642.20020559661,1900,1772,1602,1766,83.6297841476879
"2008/2009",2009,121,121,100,43.7623690002961,222.633805461437,68.9021505721824,53.2777640631051,93.4088946265404,2012.59119040154,1848,1774.16193807414,1875,1847.5,1501,1841,86.3781773422675
"2009/2010",2010,120,120,100,45.341127916511,184.8233180242,68.7344880565864,54.5331922166601,91.0581334497845,2048.40630281767,1889,1852.10839870672,1895,1930.5,1454,1922,87.4937710323327
"2010/2011",2011,120,120,100,55.3571727746952,216.321208059296,66.4068609312264,62.0582459167645,91.7288039465592,2240.78817976245,2120.5,2012.37000465363,2105,2135.5,1702,2135.5,90.3423196007161
"2011/2012",2012,120,120,100,56.1806701895447,207.148223168094,68.9898620719249,66.029665672659,94.1248630950566,2204.87419811957,2064.5,1913.11166524944,2084,2046,1752,2039.5,87.2085912822586
"2012/2013",2013,121,121,100,44.8362167228599,196.655926444035,69.9749678487461,56.910217762472,94.2990105856654,1986.53214699865,1787,1722.19146607383,1835.5,1808,1433,1793.5,87.3826580229702
"2013/2014",2014,120,120,100,52.8191609991014,200.792116227079,73.4341385485067,64.3763557327131,95.2567828093347,2100.98205960592,1888.5,1721.60619977878,1956,1845,1722,1828.5,84.6258963658715
"2014/2015",2015,120,120,100,29.6150214429761,131.73322918136,79.6940911712242,48.8692703404967,95.0269874355552,1501.03077754629,1198.5,1067.0373478027,1374,1165,1133,1109.5,70.9067558013965
"2015/2016",2016,120,120,100,47.4611347276368,184.287664434057,66.6580777283415,55.6616920468347,91.0452543869201,2098.06898868698,1949.5,1909.04252682924,1943,2010,1495,1995.5,87.5475555053281
"2016/2017",2017,121,121,100,40.4476982620635,185.710824818596,68.4811762059783,52.3817517312375,90.963289404491,1828.45124212829,1661.5,1527.54435247476,1701,1650.5,1364,1598.5,78.9652282178859
"2017/2018",2018,120,120,100,35.28734114954,156.053519526089,72.0786687916221,47.3004047485627,90.8422084004416,1753.41962513798,1578.5,1504.19114429253,1616,1574.5,1234,1538.5,77.9566052014516
"2018/2019",2019,120,120,100,47.7059545607316,170.393417070937,80.841190887948,61.2433330911527,95.6835706898856,1918.1010443557,1690.5,1533.43255822518,1788.5,1662.5,1550,1640,79.8625484154895
"2019/2020",2020,120,120,100,39.7961878444371,182.890858029829,65.5757862528484,50.0819710884596,89.8858805252854,1924.1648137888,1765,1688.69976052532,1796.5,1750,1407,1730,84.0672480958747
"2020/2021",2021,121,121,100,40.7197634251913,183.005481068206,62.4217562184079,48.8052787603901,88.1970192628111,1975.71593500641,1839.5,1834.47004121585,1801,1905.5,1344,1852.5,84.9701709108922
"2021/2022",2022,120,120,100,48.2839674058465,189.226865326278,80.0452169256262,63.830891085771,96.6640307123286,1830.80438915829,1615.5,1416.95640543606,1748,1527,1544,1522.5,79.6005779173561
"2022/2023",2023,120,120,100,52.3067095334728,182.58165548899,70.8085545271552,63.8111665566596,93.5428436154695,1973.36040692536,1803.5,1616.60085138528,1860,1754,1562,1723,82.0713037642727
"2023/2024",2024,120,120,100,47.1862713471957,220.787773004835,61.3539102515887,52.500261709836,88.7788263201134,2157.09924437082,2059,1997.14564343966,2003.5,2079.5,1518,2062.5,90.9297129334782
