"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.4468849385193,160.793073530363,65.8994659007884,45.7624303736097,87.4215493126791,1838.53646975365,1770,1712.15330269152,1753,1769.5,1240,1746,83.1368393625198
"2002/2003",2003,120,120,100,38.2895864267515,149.111040106155,71.4557768378583,46.7160521165935,87.9499212939444,1929.07109255476,1821.5,1784.4252763683,1782,1859.5,1336,1834,84.2213951059952
"2003/2004",2004,120,120,100,50.4951856795173,201.527444678281,73.3584683456015,64.1145317896505,96.9615833113284,2058.12769597583,1802.5,1682.98356488309,1899.5,1805.5,1606,1799,87.7754845504547
"2004/2005",2005,121,121,100,53.0790238829247,214.932231353615,67.2534144265748,62.0373441783031,93.4737388718584,2194.94644337384,2039.5,1932.56490712323,2049,2072.5,1687,2051,89.8264626094812
"2005/2006",2006,120,120,100,46.4017267383404,192.123097996222,62.0211605671176,51.201678981539,87.7775731175529,2053.50032987999,1997,1941.36763799216,1934.5,1987,1396,1973.5,87.8844992428672
"2006/2007",2007,120,120,100,45.498460272521,197.425155008717,68.2867007932795,51.2410825946328,89.251943020769,1988.52485377121,1869.5,1833.66175563671,1847.5,1920,1427,1895,86.1967109091735
"2007/2008",2008,120,120,100,50.1587686935858,191.40967481892,77.0552204927284,63.1556888853506,96.1998816099811,1977.86345688618,1758.5,1594.15645314554,1871,1718.5,1589,1712,82.5315229737377
"2008/2009",2009,121,121,100,44.5943954636973,213.548738642618,70.3413754507949,53.3309091203968,93.3146197841053,2007.74241656871,1845.5,1771.33968463307,1869.5,1860.5,1507,1855.5,85.7385720635498
"2009/2010",2010,120,120,100,45.2705187193495,181.439930143824,69.9876118580599,53.6852986807388,91.1426960401821,2060.90417895439,1908.5,1887.10901044213,1916.5,1956,1459,1952,86.9148994235152
"2010/2011",2011,120,120,100,56.0621317113816,209.33958484687,67.5942480644875,63.2184368124405,92.2255482190634,2261.63660005694,2133.5,2026.04756487084,2122.5,2141.5,1732,2141.5,90.4344511361983
"2011/2012",2012,120,120,100,55.0599364156397,195.340193573018,70.2198591055095,64.8677387380438,94.441791830903,2196.2650446417,2032,1901.34733608167,2072,2042.5,1760,2037,86.8544455602289
